"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"1412 N 47TH ST","7039531-CN","Single Family/Duplex","Residential","New","Construct North two-family dwelling  per plan. (Construct (2) two family dwelling  per plan. Review and process for 2 records under 7039531-CN)","4","0","4","2024 Sep 16 12:00:00 AM","575,854","2025 Feb 07 12:00:00 AM","2026 Aug 07 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7039531-CN","47.66318372","-122.34000193","POINT (-122.34000193 47.66318372)"
"3207 NE 77TH ST","7004518-CN","Single Family/Duplex","Residential","New","Establish use as single family residences with attached accessory dwelling unit per land use code. Construct two family dwelling  per plan.","2","0","2","2024 Aug 23 12:00:00 AM","914,262","2025 Feb 13 12:00:00 AM","2026 Aug 13 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7004518-CN","47.68467991","-122.29334464","POINT (-122.29334464 47.68467991)"
"6720 35TH PL NW","6879844-CN","Single Family/Duplex","Residential","New","Construct new one-family dwelling  per plan. (Establish use as single family residence and (1) DADU and Construct (2) one- family dwellings  per plan / Review and process for two CN records under 6879844)","2","0","2","2022 Jul 22 12:00:00 AM","307,452","2023 Jan 13 12:00:00 AM","2026 Jan 13 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6879844-CN","47.67770578","-122.40313627","POINT (-122.40313627 47.67770578)"
"7946 35TH AVE SW","7004520-CN","Single Family/Duplex","Residential","New","Construct a two-family dwelling  per plans.  Project includes removal of existing garage and accessory structures.   (Establish use as single family residence with attached accessory dwelling unit and convert existing dwelling to a detached accessory dwelling unit per Land Use Code. Construct a two-family dwelling.  Reviews and processing for 2 construction records under 7004520-CN)","4","0","4","2024 May 18 12:00:00 AM","562,626","2024 Oct 07 12:00:00 AM","2026 Apr 07 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7004520-CN","47.53058538","-122.37628844","POINT (-122.37628844 47.53058538)"
"6357 38TH AVE SW","7022290-CN","Single Family/Duplex","Residential","New","Construct a two-family dwelling  per plans.  (Establish use as single family residence  an attached accessory dwelling unit  and a detached accessory dwelling unit per Land Use Code.  Construct a one-family dwelling and a two-family dwelling.  Reviews and processing for two construction records under 7022290-CN)","4","0","4","2024 Jul 02 12:00:00 AM","700,385","2024 Oct 16 12:00:00 AM","2026 Apr 16 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7022290-CN","47.54493579","-122.3808089","POINT (-122.3808089 47.54493579)"
"11738 23RD AVE NE","7023015-CN","Single Family/Duplex","Residential","New","Construct new two-family dwelling  per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings  per plan. Review and processing for two records under 7023015)","4","0","4","2024 Sep 16 12:00:00 AM","730,112","2025 Feb 20 12:00:00 AM","2026 Aug 20 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7023015-CN","47.71507562","-122.30418097","POINT (-122.30418097 47.71507562)"
"8608 26TH AVE NW","6966625-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit  per land use code. Construct new two family dwelling  per plan.","2","0","2","2023 Aug 10 12:00:00 AM","927,330","2025 Mar 16 12:00:00 AM","2026 Sep 16 12:00:00 AM","Issued","SEATTLE","WA","98117","Davis Built Homes","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6966625-CN","47.69155228","-122.38996015","POINT (-122.38996015 47.69155228)"
"4191 42ND AVE NE","7040106-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit per land use code.  Construct new two-family dwelling on existing foundation  per plan.","2","0","2","2024 Nov 21 12:00:00 AM","617,545","2025 Jul 14 12:00:00 AM","2027 Jan 14 12:00:00 AM","Issued","SEATTLE","WA","98105",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7040106-CN","47.66101334","-122.28305908","POINT (-122.28305908 47.66101334)"
"2733 NE 87TH ST","7050095-CN","Single Family/Duplex","Residential","New","Construct two family dwelling  per plan. (Establish use as single-family residence with attached and detached accessory dwelling unit per land use code. Construct one and two family dwellings  per plan. Review and process for 2 records under 7050095-CN)","2","0","2","2025 Feb 24 12:00:00 AM","623,243","2025 Jun 30 12:00:00 AM","2026 Dec 30 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7050095-CN","47.6915508","-122.2978751","POINT (-122.2978751 47.6915508)"
"4411 2ND AVE NE","7029263-CN","Single Family/Duplex","Residential","New","Construct west one-family dwelling  per plan. [Establish single-family use with detached accessory dwelling unit per land use code. Construct one-family dwellings  per plan. Review and processing for (2) construction records under 7001514-CN.]","1","0","1","2024 Jun 06 12:00:00 AM","208,381","2024 Nov 15 12:00:00 AM","2026 May 15 12:00:00 AM","Issued","SEATTLE","WA","98105",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7029263-CN","47.66069988","-122.32767424","POINT (-122.32767424 47.66069988)"
"4100 37TH AVE SW","7050653-CN","Single Family/Duplex","Residential","New","Construct west two-family dwelling (Establish use as a single-family dwelling unit with both an attached accessory dwelling unit and a detached accessory dwelling unit  per land use code.  Construct (1) two-family dwelling & (1) one-family dwelling  per plan.  Review & process for (2) records under 7050653-CN)","4","0","4","2024 Nov 06 12:00:00 AM","632,133","2025 Apr 01 12:00:00 AM","2026 Oct 01 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7050653-CN","47.56633497","-122.37850837","POINT (-122.37850837 47.56633497)"
"1718 S DEARBORN ST","7040821-CN","Multifamily","Residential","New","Construct SE Bldg B single family dwelling  per plan. (Establish use as single family residence per land use code. Construct 4 single family dwellings  per plan. Review and processing for four records under 6872685-CN)","1","0","1","2025 May 14 12:00:00 AM","351,495","2025 May 14 12:00:00 AM","2026 Nov 14 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7040821-CN","47.59600378","-122.30921058","POINT (-122.30921058 47.59600378)"
"724 N 89TH ST","7041190-CN","Single Family/Duplex","Residential","New","Construct a one-family dwelling  per plans (Establish use as a single-family residence with both attached and detached accessory dwelling units per the land use code. Construct both a two-family and one-family dwelling  per plans. Reviews and processing for two -CN's under 7026968)","1","0","1","2024 Aug 16 12:00:00 AM","173,950","2025 Feb 28 12:00:00 AM","2026 Aug 28 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7041190-CN","47.69376179","-122.34869504","POINT (-122.34869504 47.69376179)"
"2009 MINOR AVE E","6881101-CN","Multifamily","Residential","New","Establish use as rowhouses per Land Use Code.  Construct a 4-unit multi-family structure  occupy per plans.","4","0","4","2022 Dec 09 12:00:00 AM","1,251,377","2024 Mar 12 12:00:00 AM","2027 Mar 12 12:00:00 AM","Issued","SEATTLE","WA","98102",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6881101-CN","47.63710791","-122.32865812","POINT (-122.32865812 47.63710791)"
"6232 WOODLAWN AVE N","7025370-CN","Single Family/Duplex","Residential","New","Establish use as a two-family dwelling  per the land use code. Construct a duplex  per plans.","2","0","2","2025 Feb 27 12:00:00 AM","550,130","2025 Jul 16 12:00:00 AM","2027 Jan 16 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7025370-CN","47.67359391","-122.33400186","POINT (-122.33400186 47.67359391)"
"1512 S GRAND ST","7051547-CN","Multifamily","Residential","New","Establish use as rowhouses per the land use code. Construct a townhouse building  per plans","3","0","3","2024 Dec 24 12:00:00 AM","736,259","2025 Jun 23 12:00:00 AM","2026 Dec 23 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7051547-CN","47.58720525","-122.31318294","POINT (-122.31318294 47.58720525)"
"4902 12TH AVE S","7030255-CN","Single Family/Duplex","Residential","New","Construct west two family dwelling  per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings  per plan. Review and processing for two records under 7030255-CN)","2","0","2","2025 Jan 30 12:00:00 AM","764,418","2025 Sep 12 12:00:00 AM","2027 Mar 12 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7030255-CN","47.55852131","-122.31688488","POINT (-122.31688488 47.55852131)"
"9026 CORLISS AVE N","7042154-CN","Single Family/Duplex","Residential","New","Construct east one-family dwelling  per plan. (Establish use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings  per plan. Review and processing for two records under 7039787)","1","0","1","2024 Aug 22 12:00:00 AM","204,433","2024 Dec 13 12:00:00 AM","2026 Jun 13 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7042154-CN","47.69455501","-122.3308364","POINT (-122.3308364 47.69455501)"
"3415 48TH AVE SW","7025773-CN","Single Family/Duplex","Residential","New","Construct new one family dwelling  per plan. (Allow new attached and detached accessory dwelling unit to existing single family residence per land use code. Construct addition for two family dwelling and new one family dwelling  per plan. Review and processing for two records under 7019378-CN)","1","0","1","2024 May 17 12:00:00 AM","206,594","2024 Nov 19 12:00:00 AM","2026 May 19 12:00:00 AM","Issued","SEATTLE","WA","98116",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7025773-CN","47.57327767","-122.39397683","POINT (-122.39397683 47.57327767)"
"326 NW 80TH ST","7030789-CN","Single Family/Duplex","Residential","New","Construct south two family dwelling  per plan. (Establish use as single-family residence  attached accessory dwelling unit  and detached accessory dwelling unit per land use code. Construct one and two family dwelling  per plan. Review and process for 2 records under 7030789-CN)","4","0","4","2024 Aug 27 12:00:00 AM","463,236","2025 Jun 06 12:00:00 AM","2026 Dec 06 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7030789-CN","47.68710312","-122.36178947","POINT (-122.36178947 47.68710312)"
"12029 40TH AVE NE","7026912-CN","Single Family/Duplex","Residential","New","Construct a one-family dwelling  per plan (Establish use as single family residence with both attached and detached accessory dwelling units per land use code. Construct a one- and a two- family dwelling  per plan. Review and processing for two records under 7020895-CN)","1","0","1","2024 May 23 12:00:00 AM","187,080","2024 Dec 05 12:00:00 AM","2026 Jun 05 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7026912-CN","47.7165223","-122.28609301","POINT (-122.28609301 47.7165223)"
"3840 LINDEN AVE N","7052307-CN","Multifamily","Residential","New","Construct west bldg. per plans (Establish use as townhouses per land use code. Construct (2) townhouse buildings per plans. Reviews and processing for (2) -CN's under 7052307)","4","0","4","2025 Feb 28 12:00:00 AM","956,082","2025 Sep 18 12:00:00 AM","2027 Mar 18 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7052307-CN","47.65398506","-122.34829269","POINT (-122.34829269 47.65398506)"
"726 N 89TH ST","7026968-CN","Single Family/Duplex","Residential","New","Construct a two-family dwelling  per plans (Establish use as a single-family residence with both attached and detached accessory dwelling units per the land use code. Construct both a two-family and one-family dwelling  per plans. Reviews and processing for two -CN's under 7026968)","3","0","3","2024 Aug 16 12:00:00 AM","551,608","2025 Jul 02 12:00:00 AM","2027 Jan 02 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7026968-CN","47.69374437","-122.34865375","POINT (-122.34865375 47.69374437)"
"10435 41ST AVE SW","7030990-CN","Single Family/Duplex","Residential","New","Construct new two family dwelling  per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings  per plan. Review and processing for two records under 7030990-CN.)","4","0","4","2024 Sep 05 12:00:00 AM","669,173","2025 Jan 28 12:00:00 AM","2026 Jul 28 12:00:00 AM","Issued","SEATTLE","WA","98146",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7030990-CN","47.50904971","-122.38465727","POINT (-122.38465727 47.50904971)"
"926 NW 58TH ST","7043368-CN","Single Family/Duplex","Residential","New","Construct new South two family dwelling (Building A)  per plan (Establish use as townhouses (multifamily residential)  per land use code.  Construct 2 two family dwellings  per plan.  Review and processing for two records under 7043368-CN)","4","0","4","2024 Oct 25 12:00:00 AM","583,410","2025 Feb 21 12:00:00 AM","2026 Aug 21 12:00:00 AM","Issued","SEATTLE","WA","98107",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7043368-CN","47.67109104","-122.36990254","POINT (-122.36990254 47.67109104)"
"2006 MCGILVRA BLVD E","7052845-CN","Single Family/Duplex","Residential","New","Construct one-family dwelling  per plan (Establish use as single family residence with attached and detached accessory dwelling units  per land use code.  Construct as one- and two-family dwellings; review and process for two records under 7018900-CN).","1","0","1","2024 Oct 23 12:00:00 AM","132,756","2025 May 02 12:00:00 AM","2026 Nov 02 12:00:00 AM","Issued","SEATTLE","WA","98112",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7052845-CN","47.63725799","-122.28051456","POINT (-122.28051456 47.63725799)"
"3612 SW OTHELLO ST","7027763-CN","Single Family/Duplex","Residential","New","Construct new two family dwelling  per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings  per plan. Review and processing for two records under #7027763-CN""","4","0","4","2024 Oct 16 12:00:00 AM","604,561","2025 Jan 30 12:00:00 AM","2026 Jul 30 12:00:00 AM","Issued","SEATTLE","WA","98126",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7027763-CN","47.5370211","-122.3789652","POINT (-122.3789652 47.5370211)"
"11739 40TH AVE NE","7043991-CN","Single Family/Duplex","Residential","New","Construct One-family dwelling  per plan [Establish use as single family residence with attached and detached accessory dwelling units  per land use code.  Construct as one- and two-family dwellings; review and process for two records under 7032008-CN]","1","0","1","2024 Sep 04 12:00:00 AM","194,824","2025 Jan 08 12:00:00 AM","2026 Jul 08 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7043991-CN","47.71487209","-122.2856366","POINT (-122.2856366 47.71487209)"
,"7044242-CN","Single Family/Duplex","Residential","New","Construct new two-family dwelling  per plan.  (Establish use as single-family residence with attached and detached accessory dwelling unit per land use code. Construct new one- and two-family dwellings  per plan)","4","0","4","2024 Nov 14 12:00:00 AM","503,646","2025 Apr 15 12:00:00 AM","2026 Oct 15 12:00:00 AM","Issued",,,,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7044242-CN",,,
"8040 FOREST DR NE","7053980-CN","Single Family/Duplex","Residential","New","Establish use as single family residence per land use code.  Construct new one family dwelling  per plan.","1","0","1","2025 Mar 07 12:00:00 AM","897,330","2025 Sep 03 12:00:00 AM","2027 Mar 03 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7053980-CN","47.68728993","-122.27630166","POINT (-122.27630166 47.68728993)"
"8316 MARY AVE NW","6883132-CN","Single Family/Duplex","Residential","New","Construct west two-family dwelling  with attached dwelling unit  occupy per plan (Establish use as (2) townhouses  per land use code.  Construct as (2) two-family dwellings with attached dwelling unit; review and process for two records under 6883132-CN).","6","0","6","2022 Nov 17 12:00:00 AM","740,716","2025 Jan 14 12:00:00 AM","2026 Jul 14 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6883132-CN","47.6893308","-122.37523132","POINT (-122.37523132 47.6893308)"
"524 B NE 89TH ST","7054368-CN","Single Family/Duplex","Residential","New","Construct north one-family dwelling  per plan. [Establish single-family residence with detached accessory dwelling unit [DADU]  per land use code. Construct one-family dwellings  per plan. Review and processing for (2) construction records under 7053116-CN.]","1","0","1","2024 Nov 04 12:00:00 AM","197,742","2025 Jun 05 12:00:00 AM","2026 Dec 05 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7054368-CN","47.69328509","-122.32184812","POINT (-122.32184812 47.69328509)"
"1314 E UNION ST","6883524-CN","Multifamily","Residential","New","Establish use as & construct apartment structure  occupy per plan","139","0","139","2023 May 19 12:00:00 AM","23,061,060","2024 Oct 30 12:00:00 AM","2026 Apr 30 12:00:00 AM","Issued","SEATTLE","WA","98122","DAVID OTTOLINO","https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6883524-CN","47.61320245","-122.31460047","POINT (-122.31460047 47.61320245)"
"1415 5TH AVE","7029471-CN","Commercial","Non-Residential","New","Construct alterations for restaurant (MOTIF) at level 5 roof terrace of existing commercial building  and occupy  per plan.","0","0","0","2024 Nov 01 12:00:00 AM","200,000","2025 Mar 11 12:00:00 AM","2026 Sep 11 12:00:00 AM","Issued","SEATTLE","WA","98101",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7029471-CN","47.60996156","-122.33573595","POINT (-122.33573595 47.60996156)"
"1722 26TH AVE","7045019-CN","Multifamily","Residential","New","Construct west townhouse building  per plan. (Establish use as townhouse and per land use code. Construct two new townhouse buildings  per plan. Review and processing for two records under 7045019)","3","0","3","2025 Jan 29 12:00:00 AM","959,143","2025 Oct 15 12:00:00 AM","2027 Apr 15 12:00:00 AM","Issued","SEATTLE","WA","98122",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7045019-CN","47.61717235","-122.29846951","POINT (-122.29846951 47.61717235)"
"952 24TH AVE S","7029726-CN","Single Family/Duplex","Residential","New","Construct north one-family dwelling (Establish use as single-family residence & townhouse  per land use code.  Construct (1) one-family dwelling & (1) townhouse building  per plan.  Review & process for (2) records under 6999881-CN)","1","0","1","2024 Jun 10 12:00:00 AM","277,742","2025 May 09 12:00:00 AM","2026 Nov 09 12:00:00 AM","Issued","SEATTLE","WA","98144",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7029726-CN","47.59309363","-122.30091507","POINT (-122.30091507 47.59309363)"
"12747 37TH AVE NE","7055415-CN","Single Family/Duplex","Residential","New","Construct a one-family dwelling  per plan.(Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings  per plan. Review and processing for two records under 7035205-CN)","1","0","1","2024 Nov 11 12:00:00 AM","189,203","2025 Apr 08 12:00:00 AM","2026 Oct 08 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7055415-CN","47.72247055","-122.28898396","POINT (-122.28898396 47.72247055)"
"4048 32ND AVE W","7030263-CN","Single Family/Duplex","Residential","New","Construct west two-family dwelling  per plan. [Establish single-family use with attached and detached accessory dwelling units per land use plan. Construct one- and two-family dwellings  per plan. Review and processing for (2) construction records under 7030263-CN.]","4","0","4","2024 Aug 23 12:00:00 AM","552,854","2025 Jan 30 12:00:00 AM","2026 Jul 30 12:00:00 AM","Issued","SEATTLE","WA","98199",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7030263-CN","47.65710981","-122.39798986","POINT (-122.39798986 47.65710981)"
"5642 49TH AVE SW","7030266-CN","Single Family/Duplex","Residential","New","Construct new two-family dwelling  per plan. (Establish use as single-family residence with attached and detached accessory dwelling units per land use code. Construct new one- and two-family dwellings  per plan. Review and processing for two records under 7030266-CN)","4","0","4","2024 Aug 16 12:00:00 AM","686,260","2024 Dec 10 12:00:00 AM","2026 Jun 10 12:00:00 AM","Issued","SEATTLE","WA","98136",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7030266-CN","47.55086799","-122.39483301","POINT (-122.39483301 47.55086799)"
"11502 9TH AVE NE","7045912-CN","Single Family/Duplex","Residential","New","Construct new north one-family dwelling  per plan. (Change use from single family residence and establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct substantial alterations and additions to convert existing one-family home to new two-family dwelling and construct new north one-family dwelling and  per plan. Review and processing for two records","1","0","1","2024 Oct 02 12:00:00 AM","160,034","2025 Apr 16 12:00:00 AM","2026 Oct 16 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7045912-CN","47.71257337","-122.31910258","POINT (-122.31910258 47.71257337)"
"1414 N 47TH ST","7045932-CN","Single Family/Duplex","Residential","New","Construct north two-family dwelling  per plan. (Construct (2) two family dwelling  per plan. Review and process for 2 records under 7039529-CN)","2","0","2","2024 Sep 16 12:00:00 AM","634,797","2025 Jan 29 12:00:00 AM","2026 Jul 29 12:00:00 AM","Issued","SEATTLE","WA","98103",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7045932-CN","47.66317037","-122.33980603","POINT (-122.33980603 47.66317037)"
"7360 22ND AVE NW","7033103-CN","Single Family/Duplex","Residential","New","Establish use as single-family dwelling unit with attached accessory dwelling unit  per land use code. Construct new two family dwelling  per plan.","2","0","2","2024 Jul 31 12:00:00 AM","634,099","2025 Feb 19 12:00:00 AM","2026 Aug 19 12:00:00 AM","Issued","SEATTLE","WA","98117",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7033103-CN","47.68298025","-122.38405301","POINT (-122.38405301 47.68298025)"
"531 B FEDERAL AVE E","6885649-CN","Single Family/Duplex","Residential","New","Construct west 2 unit townhouse  per plan","2","0","2","2024 Mar 11 12:00:00 AM","512,089","2025 Sep 25 12:00:00 AM","2027 Mar 25 12:00:00 AM","Issued","SEATTLE","WA","98102",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6885649-CN","47.62405216","-122.31929435","POINT (-122.31929435 47.62405216)"
"14050 1ST AVE NE","6973336-CN","Institutional","Non-Residential","New","Construct site improvement for future school structure (Lakeside Upper School)  per plan.","0","0","0","2024 Mar 16 12:00:00 AM","750,000","2024 Sep 09 12:00:00 AM","2026 Mar 09 12:00:00 AM","Issued","SEATTLE","WA","98125",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6973336-CN","47.73143645","-122.32785791","POINT (-122.32785791 47.73143645)"
"3111 W MANSELL ST","7047747-CN","Single Family/Duplex","Residential","New","Establish use as single family residence with attached accessory dwelling unit per land use code. Construct new two family dwelling and site retaining walls  per plan.","2","0","2","2024 Nov 05 12:00:00 AM","702,932","2025 May 27 12:00:00 AM","2026 Nov 27 12:00:00 AM","Issued","SEATTLE","WA","98199",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7047747-CN","47.65822965","-122.39721558","POINT (-122.39721558 47.65822965)"
"10202 44TH AVE SW","7047749-CN","Single Family/Duplex","Residential","New","Construct west one-family dwelling  per plan. [Establish single-family residence with detached accessory dwelling unit  per Land Use Code. Construct one-family dwellings  per plan. Review and processing for (2) construction records under 7047749-CN.]","2","0","2","2024 Nov 13 12:00:00 AM","426,069","2025 May 22 12:00:00 AM","2026 Nov 22 12:00:00 AM","Issued","SEATTLE","WA","98146",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7047749-CN","47.51196546","-122.38831911","POINT (-122.38831911 47.51196546)"
"1133 NW 60TH ST","7048336-CN","Multifamily","Residential","New","Construct south building  per plan. (Establish use as townhomes  per land use code. Construct (2) two-family dwellings  per plan. Review and processing for two records under 7047255-CN)","2","0","2","2025 Feb 10 12:00:00 AM","638,877","2025 Feb 10 12:00:00 AM","2026 Aug 10 12:00:00 AM","Issued","SEATTLE","WA","98107",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7048336-CN","47.67206679","-122.37219258","POINT (-122.37219258 47.67206679)"
"914 15TH AVE","7010951-CN","Multifamily","Residential","New","Construct east townhouse  per plan. (Establish use one rowhouse and one townhouse  per land use code. Construct two new townhouses  per plan. Review and processing for two records under 6983462)","3","0","3","2024 Feb 27 12:00:00 AM","955,894","2024 Aug 29 12:00:00 AM","2026 Feb 28 12:00:00 AM","Issued","SEATTLE","WA","98122",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7010951-CN","47.61088605","-122.31253681","POINT (-122.31253681 47.61088605)"
"5217 NE 43RD ST","7034011-CN","Single Family/Duplex","Residential","New","(Establish use as single family dwelling unit with an attached accessory dwelling unit  per land use code.)  Construct new two family dwelling  per plan.","1","1","2","2025 Mar 21 12:00:00 AM","644,567","2025 Aug 08 12:00:00 AM","2027 Feb 08 12:00:00 AM","Issued","SEATTLE","WA","98105",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7034011-CN","47.65923426","-122.27129716","POINT (-122.27129716 47.65923426)"
"934 10TH AVE E","6974295-CN","Single Family/Duplex","Residential","New","Establish use as single family residence per land use code. Construct a one-family dwelling  per plan.","1","0","1","2024 Mar 20 12:00:00 AM","374,349","2024 Jul 26 12:00:00 AM","2026 Jan 26 12:00:00 AM","Issued","SEATTLE","WA","98102",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6974295-CN","47.62785398","-122.31990709","POINT (-122.31990709 47.62785398)"
"11317 CORLISS AVE N","7032568-CN","Multifamily","Residential","New","Construct three-unit townhouse  per plans.  (Establish use as townhouses per Land Use Code.  Construct a two-family dwelling and a three-unit townhouse.  Reviews and processing for two construction records under 7002509-CN)","3","0","3","2024 Jun 26 12:00:00 AM","835,172","2025 Feb 05 12:00:00 AM","2026 Aug 05 12:00:00 AM","Issued","SEATTLE","WA","98133",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7032568-CN","47.71097689","-122.33176594","POINT (-122.33176594 47.71097689)"
"1427 WOODROW PL E","7048803-CN","Single Family/Duplex","Residential","New","Establish use as single family residences per land use code. Construct one family dwelling  per plan.","1","0","1","2024 Oct 26 12:00:00 AM","699,854","2025 Apr 23 12:00:00 AM","2026 Oct 23 12:00:00 AM","Issued","SEATTLE","WA","98112",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7048803-CN","47.63185581","-122.28488263","POINT (-122.28488263 47.63185581)"
"2526 30TH AVE W","7049187-CN","Single Family/Duplex","Residential","New","Construct new one family dwelling  per plan. (Establish use as single family residence with attached and detached accessory dwelling units per land use code. Construct new one and two family dwellings  per plan. Review and processing for two records under # 7034014-CN.)","1","0","1","2024 Oct 02 12:00:00 AM","172,906","2025 Aug 21 12:00:00 AM","2027 Feb 21 12:00:00 AM","Issued","SEATTLE","WA","98199",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7049187-CN","47.64208157","-122.3950624","POINT (-122.3950624 47.64208157)"
"3822 50TH AVE SW","7049529-CN","Single Family/Duplex","Residential","New","Construct west one-family dwelling (Establish use as single-family dwelling unit and allow detached accessory dwelling unit  per land use code.  Construct (2) one-family dwelling units  per plan.  Review & process for (2) records under 7049529-CN)","2","0","2","2025 Jan 16 12:00:00 AM","643,140","2025 May 22 12:00:00 AM","2026 Nov 22 12:00:00 AM","Issued","SEATTLE","WA","98116",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=7049529-CN","47.56953853","-122.39583904","POINT (-122.39583904 47.56953853)"
