"OriginalAddress1","PermitNum","PermitClass","PermitClassMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","AppliedDate","EstProjectCost","IssuedDate","ExpiresDate","StatusCurrent","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"548 S CLOVERDALE ST","6916218-CN","Multifamily","Residential","New","Construct north townhouse (Bldg 2)  per plan. (Establish use as rowhouses and Construct two multifamily buildings  per plan / Review and process for two CN records under 6887131)","4","0","4","2022 Aug 22 12:00:00 AM","898,678","2023 Dec 06 12:00:00 AM","2026 Dec 06 12:00:00 AM","Issued",,"WA",,,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6916218-CN","47.52679991","-122.32623545","POINT (-122.32623545 47.52679991)"
"1925 E COLUMBIA ST","6848993-CN","Single Family/Duplex","Residential","New","Construct new Single Family Residence  per plan.","1","0","1","2021 Dec 17 12:00:00 AM","585,455","2022 May 03 12:00:00 AM","2026 Nov 03 12:00:00 AM","Issued","SEATTLE","WA","98122",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6848993-CN","47.60904186","-122.30662637","POINT (-122.30662637 47.60904186)"
"3516 S CHICAGO ST","6849930-CN","Single Family/Duplex","Residential","New","Establish use as single family residence and construct two family dwelling  per plan.","2","0","2","2022 Jul 08 12:00:00 AM","535,193","2023 Apr 30 12:00:00 AM","2026 Apr 30 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6849930-CN","47.53252522","-122.28735904","POINT (-122.28735904 47.53252522)"
"10001 68TH AVE S","6867440-CN","Single Family/Duplex","Residential","New","Construct East single family dwelling  per plan.  (Establish use as single family residence and detached accessory dwelling unit (DADU) and construct (2) one family dwellings  per plan. Review and process for two CN records under 6867440-CN)","2","0","2","2022 Sep 01 12:00:00 AM","612,210","2023 Sep 19 12:00:00 AM","2026 Sep 19 12:00:00 AM","Issued","SEATTLE","WA","98178",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6867440-CN","47.51147177","-122.24858896","POINT (-122.24858896 47.51147177)"
"1238 15TH AVE E","6771365-CN","Multifamily","Residential","New","Construct East townhouse structure (Bldg C)  occupy per plan. (Construct three new townhouse structures with parking below  occupy per plan.  Review & process for 3 permit records under 6771365-CN).","14","0","14","2021 Mar 07 12:00:00 AM","1,451,433","2022 Jun 06 12:00:00 AM","2026 Dec 06 12:00:00 AM","Issued","SEATTLE","WA","98112",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6771365-CN","47.63209412","-122.31203456","POINT (-122.31203456 47.63209412)"
"5010 SW HUDSON ST","6850679-CN","Single Family/Duplex","Residential","New","Construct detached accessory dwelling unit (DADU) at existing single family residence per standard plan 6797255-SP","1","0","1","2021 Jul 28 12:00:00 AM","108,748","2021 Aug 27 12:00:00 AM","2026 Feb 27 12:00:00 AM","Issued","SEATTLE","WA","98116",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6850679-CN","47.55766473","-122.39687859","POINT (-122.39687859 47.55766473)"
"8221 23RD AVE NE","6888403-CN","Single Family/Duplex","Residential","New","Establish use a single-family dwelling unit per land use code. Construct one family dwelling  per plan.","1","0","1","2023 Nov 29 12:00:00 AM","512,381","2025 Mar 03 12:00:00 AM","2026 Sep 03 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6888403-CN","47.68920173","-122.30299126","POINT (-122.30299126 47.68920173)"
"4728 S LUCILE ST","6905069-CN","Single Family/Duplex","Residential","New","Construct the DADU  per plan (Establish use as and construct a single-family residence with an attached accessory dwelling unit (AADU) and a detached accessory dwelling unit (DADU). Review and process for 2 record numbers under 6891712-CN)","1","0","1","2022 Jun 10 12:00:00 AM","187,880","2022 Oct 05 12:00:00 AM","2027 Apr 05 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6905069-CN","47.55288912","-122.27299935","POINT (-122.27299935 47.55288912)"
"4104 30TH AVE S","6772281-CN","Single Family/Duplex","Residential","New","Construct new duplex (building 3)  per plan.(Construct (4) new duplex's and (1) new single family residence with attached accessory dwelling unit: review and processing of 5 records under 6742859-CN).","2","0","2","2020 Feb 19 12:00:00 AM","478,152","2024 Aug 13 12:00:00 AM","2026 Feb 13 12:00:00 AM","Issued","SEATTLE","WA","98108",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6772281-CN","47.56611222","-122.29559408","POINT (-122.29559408 47.56611222)"
"7535 57TH PL NE","6889444-CN","Single Family/Duplex","Residential","New","Construct a single-family residence  per plan.","1","0","1","2023 Aug 24 12:00:00 AM","564,858","2024 Mar 23 12:00:00 AM","2027 Mar 23 12:00:00 AM","Issued","SEATTLE","WA","98115",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6889444-CN","47.68369343","-122.26786284","POINT (-122.26786284 47.68369343)"
"3609 1ST AVE NW","6869273-CN","Commercial","Non-Residential","New","Establish use as & construct mixed-use structure  occupy per plan.  Mechanical Included.","65","0","65","2022 Apr 05 12:00:00 AM","10,618,546","2024 Sep 26 12:00:00 AM","2026 Mar 26 12:00:00 AM","Issued","SEATTLE","WA","98107",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6869273-CN","47.65333467","-122.35789327","POINT (-122.35789327 47.65333467)"
"5046 D 35TH AVE S","6870329-CN","Single Family/Duplex","Residential","New","Construct north apartment (Establish use as single-family residence w/ attached accessory dwelling unit  & construct (1) two-family dwelling  per plan.  Establish use as & construct (2) multi-family structures  occupy per plan.  Review & process (3) records under 6827500-CN) [ and associated Electrical Permit 7068406-EL ]","4","0","4",,"619,421","2024 Aug 28 12:00:00 AM","2026 Feb 28 12:00:00 AM","Issued","SEATTLE","WA","98118",,"https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6870329-CN","47.55577068","-122.28843766","POINT (-122.28843766 47.55577068)"
